Food Item,Category,Serving Size,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g)
Raw Banana Curry,Curry,150 g,121.7,4.1,12.1,7.5,2.9
Raw Banana Kurma,Curry,150 g,167.2,3.8,13.2,11.6,2.5
Raw Banana Masiyal,Curry,100 g,82.1,3.1,8.1,3.7,3.1
Raw Banana Fry,Snack,100 g,134.3,2.8,13.1,8.4,2.6
Raw Banana Pachadi,Condiment,80 g,57.2,1.9,6.4,2.9,1.4
Raw Banana Chutney,Condiment,30 g,58.5,1.4,5.3,3.3,1.1
Raw Banana Sabzi,Curry,100 g,96.0,2.8,10.3,5.5,2.3
Raw Banana Rice,Rice Dish,200 g,240.7,4.8,36.9,6.6,2.3
Raw Banana Dosa,Breakfast,100 g,161.0,4.0,26.0,4.5,1.9
Raw Banana Paratha,Breakfast,100 g,210.4,4.7,30.0,8.6,2.3
Yam Poriyal,Curry,100 g,88.9,3.2,9.0,4.0,3.2
Yam Thoran,Curry,100 g,83.7,3.0,8.9,4.6,3.0
Yam Kootu,Curry,150 g,117.2,4.7,13.1,4.1,3.7
Yam Sambar,Curry,150 g,110.9,6.1,17.1,2.9,4.3
Yam Curry,Curry,150 g,130.6,4.0,12.2,6.6,3.1
Yam Kurma,Curry,150 g,179.6,4.1,14.6,11.4,2.4
Yam Masiyal,Curry,100 g,79.4,2.9,7.8,4.0,3.0
Yam Fry,Snack,100 g,130.9,3.0,13.3,8.8,2.4
Yam Pachadi,Condiment,80 g,64.1,1.9,6.3,2.8,1.4
Yam Chutney,Condiment,30 g,57.1,1.6,5.0,3.5,1.2
Yam Sabzi,Curry,100 g,97.3,2.8,9.8,6.2,2.6
Yam Rice,Rice Dish,200 g,243.5,5.2,40.8,7.1,2.4
Yam Dosa,Breakfast,100 g,156.9,3.8,25.6,4.3,1.7
Yam Paratha,Breakfast,100 g,221.6,4.9,31.3,8.1,2.6
Colocasia Poriyal,Curry,100 g,89.7,3.2,9.5,4.1,3.1
Colocasia Thoran,Curry,100 g,83.2,3.2,9.5,4.3,2.8
Colocasia Kootu,Curry,150 g,113.6,4.8,13.6,3.7,4.2
Colocasia Sambar,Curry,150 g,116.2,5.9,16.0,3.1,3.7
Colocasia Curry,Curry,150 g,135.1,3.8,11.8,6.8,2.9
Colocasia Kurma,Curry,150 g,176.0,4.2,14.2,10.3,2.3
Colocasia Masiyal,Curry,100 g,75.6,3.1,8.2,3.9,3.1
Colocasia Fry,Snack,100 g,139.7,3.0,12.5,9.4,2.3
Colocasia Pachadi,Condiment,80 g,59.3,1.9,6.2,3.0,1.5
Colocasia Chutney,Condiment,30 g,51.0,1.5,5.1,3.2,1.2
Colocasia Sabzi,Curry,100 g,95.4,2.8,9.6,5.8,2.3
Colocasia Rice,Rice Dish,200 g,239.1,4.7,37.3,7.2,2.5
Colocasia Dosa,Breakfast,100 g,163.3,4.2,23.3,4.8,1.7
Colocasia Paratha,Breakfast,100 g,193.8,5.3,31.7,8.1,2.5
Cluster Beans Poriyal,Curry,100 g,87.8,3.0,8.4,3.7,2.9
Cluster Beans Thoran,Curry,100 g,94.3,3.1,9.5,4.8,2.8
Cluster Beans Kootu,Curry,150 g,116.1,4.8,14.2,4.0,3.9
Cluster Beans Sambar,Curry,150 g,111.5,5.8,16.5,2.8,4.0
Cluster Beans Curry,Curry,150 g,122.0,4.0,12.8,6.8,3.1
Cluster Beans Kurma,Curry,150 g,178.7,4.2,13.4,10.4,2.4
Cluster Beans Masiyal,Curry,100 g,81.3,3.1,8.2,3.8,3.1
Cluster Beans Fry,Snack,100 g,139.9,3.1,13.5,8.9,2.7
Cluster Beans Pachadi,Condiment,80 g,60.6,2.0,6.1,3.2,1.5
Cluster Beans Chutney,Condiment,30 g,51.9,1.4,5.0,3.4,1.2
Cluster Beans Sabzi,Curry,100 g,92.9,3.0,9.7,6.0,2.3
Cluster Beans Rice,Rice Dish,200 g,242.2,4.7,40.2,7.4,2.5
Cluster Beans Dosa,Breakfast,100 g,155.2,4.0,25.2,4.7,1.9
Cluster Beans Paratha,Breakfast,100 g,208.3,5.2,30.7,7.8,2.5
Broad Beans Poriyal,Curry,100 g,80.3,2.8,8.4,4.3,2.9
Broad Beans Thoran,Curry,100 g,93.1,3.0,8.5,4.3,3.0
Broad Beans Kootu,Curry,150 g,108.9,5.0,13.2,3.9,3.9
Broad Beans Sambar,Curry,150 g,113.3,5.8,17.3,3.1,4.1
Broad Beans Curry,Curry,150 g,121.0,3.7,12.3,6.8,3.1
Broad Beans Kurma,Curry,150 g,174.3,4.3,14.8,10.7,2.5
Broad Beans Masiyal,Curry,100 g,75.4,2.9,8.6,4.1,2.9
Broad Beans Fry,Snack,100 g,142.1,3.2,12.6,8.8,2.6
Broad Beans Pachadi,Condiment,80 g,63.0,2.1,6.3,3.1,1.5
Broad Beans Chutney,Condiment,30 g,55.2,1.5,4.9,3.4,1.2
Broad Beans Sabzi,Curry,100 g,94.9,2.9,10.7,6.0,2.4
Broad Beans Rice,Rice Dish,200 g,216.7,4.7,40.1,6.6,2.6
Broad Beans Dosa,Breakfast,100 g,163.3,4.2,23.2,4.4,1.9
Broad Beans Paratha,Breakfast,100 g,197.6,4.9,28.4,8.4,2.6
Ivy Gourd Poriyal,Curry,100 g,89.2,2.8,8.9,3.9,3.1
Ivy Gourd Thoran,Curry,100 g,86.2,3.0,8.7,4.7,3.0
Ivy Gourd Kootu,Curry,150 g,110.6,4.8,14.7,4.0,4.2
Ivy Gourd Sambar,Curry,150 g,112.6,6.4,18.3,3.0,3.9
Ivy Gourd Curry,Curry,150 g,127.5,4.0,12.9,7.4,3.1
Ivy Gourd Kurma,Curry,150 g,160.2,3.8,14.3,11.7,2.5
Ivy Gourd Masiyal,Curry,100 g,74.9,3.2,8.4,3.9,3.1
Ivy Gourd Fry,Snack,100 g,134.9,3.2,12.3,8.9,2.7
Ivy Gourd Pachadi,Condiment,80 g,57.3,2.0,5.9,2.8,1.4
Ivy Gourd Chutney,Condiment,30 g,55.0,1.4,5.4,3.4,1.1
Ivy Gourd Sabzi,Curry,100 g,106.9,3.2,10.2,6.3,2.4
Ivy Gourd Rice,Rice Dish,200 g,222.2,5.3,39.2,6.6,2.6
Ivy Gourd Dosa,Breakfast,100 g,153.7,3.7,23.3,4.3,1.9
Ivy Gourd Paratha,Breakfast,100 g,211.6,5.2,30.1,7.5,2.4
Yardlong Beans Poriyal,Curry,100 g,82.3,2.8,8.9,4.2,3.0
Yardlong Beans Thoran,Curry,100 g,84.4,3.2,9.1,4.2,3.0
Yardlong Beans Kootu,Curry,150 g,105.5,4.7,13.8,4.1,3.8
Yardlong Beans Sambar,Curry,150 g,113.5,6.2,15.9,3.2,3.7
Yardlong Beans Curry,Curry,150 g,130.5,4.0,12.9,7.1,2.9
Yardlong Beans Kurma,Curry,150 g,169.2,4.1,15.1,10.6,2.3
Yardlong Beans Masiyal,Curry,100 g,83.7,2.9,8.3,4.1,3.1
Yardlong Beans Fry,Snack,100 g,145.3,2.9,12.1,9.1,2.6
Yardlong Beans Pachadi,Condiment,80 g,56.9,2.1,6.0,3.1,1.5
Yardlong Beans Chutney,Condiment,30 g,57.7,1.4,5.2,3.5,1.2
Yardlong Beans Sabzi,Curry,100 g,92.7,2.9,9.3,6.4,2.5
Yardlong Beans Rice,Rice Dish,200 g,248.0,5.0,36.5,7.3,2.4
Yardlong Beans Dosa,Breakfast,100 g,151.5,4.2,26.5,4.4,1.7
Yardlong Beans Paratha,Breakfast,100 g,205.6,5.3,31.2,8.5,2.5
Spinach Poriyal,Curry,100 g,91.4,3.0,9.0,4.3,3.0
Spinach Thoran,Curry,100 g,94.3,3.1,8.4,4.6,3.2
Spinach Kootu,Curry,150 g,110.8,4.9,13.1,4.1,3.9
Spinach Sambar,Curry,150 g,116.9,5.9,17.5,2.9,3.7
Spinach Curry,Curry,150 g,137.7,3.9,13.0,6.7,3.2
Spinach Kurma,Curry,150 g,182.2,3.7,14.3,10.8,2.6
Spinach Masiyal,Curry,100 g,82.3,3.2,7.5,4.1,3.1
Spinach Fry,Snack,100 g,129.6,2.8,13.6,8.8,2.5
Spinach Pachadi,Condiment,80 g,60.6,2.0,6.2,3.2,1.5
Spinach Chutney,Condiment,30 g,57.3,1.5,5.0,3.4,1.2
Spinach Sabzi,Curry,100 g,96.0,2.8,10.4,6.0,2.5
Spinach Rice,Rice Dish,200 g,232.3,4.8,36.5,6.9,2.7
Spinach Dosa,Breakfast,100 g,149.7,4.3,25.0,4.2,1.9
Spinach Paratha,Breakfast,100 g,208.4,5.3,29.7,7.5,2.6
Amaranth Leaves Poriyal,Curry,100 g,89.7,2.9,8.8,3.7,3.0
Amaranth Leaves Thoran,Curry,100 g,95.6,3.2,9.3,4.8,3.1
Amaranth Leaves Kootu,Curry,150 g,115.2,5.0,13.2,3.8,3.8
Amaranth Leaves Sambar,Curry,150 g,120.3,5.5,17.1,2.9,4.2
Amaranth Leaves Curry,Curry,150 g,131.1,4.1,11.2,6.8,3.2
Amaranth Leaves Kurma,Curry,150 g,176.0,4.0,14.6,11.6,2.3
Amaranth Leaves Masiyal,Curry,100 g,86.0,3.1,7.9,4.1,2.9
Amaranth Leaves Fry,Snack,100 g,148.5,3.1,13.3,8.5,2.7
Amaranth Leaves Pachadi,Condiment,80 g,59.4,2.1,5.6,2.8,1.4
Amaranth Leaves Chutney,Condiment,30 g,52.0,1.5,5.2,3.4,1.3
Amaranth Leaves Sabzi,Curry,100 g,106.3,3.2,9.6,6.1,2.5
Amaranth Leaves Rice,Rice Dish,200 g,216.2,4.8,38.2,7.0,2.4
Amaranth Leaves Dosa,Breakfast,100 g,166.0,3.8,25.6,4.7,1.8
Amaranth Leaves Paratha,Breakfast,100 g,221.5,5.1,31.6,7.4,2.3
Radish Poriyal,Curry,100 g,86.9,3.0,9.2,4.2,3.0
Radish Thoran,Curry,100 g,92.0,3.0,9.2,4.3,3.2
Radish Kootu,Curry,150 g,109.7,5.2,14.4,3.9,3.7
Radish Sambar,Curry,150 g,106.9,5.9,17.0,2.9,4.1
Radish Curry,Curry,150 g,126.1,4.1,12.4,7.4,3.2
Radish Kurma,Curry,150 g,160.0,3.9,14.1,10.7,2.5
Radish Masiyal,Curry,100 g,77.0,2.9,7.5,3.9,2.9
Radish Fry,Snack,100 g,142.6,2.9,13.8,8.5,2.4
Radish Pachadi,Condiment,80 g,60.7,1.9,6.3,3.0,1.5
Radish Chutney,Condiment,30 g,55.0,1.5,4.6,3.7,1.2
Radish Sabzi,Curry,100 g,107.5,2.9,9.8,5.6,2.5
Radish Rice,Rice Dish,200 g,244.1,5.1,37.8,7.0,2.6
Radish Dosa,Breakfast,100 g,153.3,4.2,25.9,4.7,1.8
Radish Paratha,Breakfast,100 g,206.7,5.1,28.5,8.1,2.3
Sweet Potato Poriyal,Curry,100 g,85.1,3.1,8.7,4.3,3.1
Sweet Potato Thoran,Curry,100 g,84.5,3.2,8.8,4.7,2.9
Sweet Potato Kootu,Curry,150 g,117.7,5.2,13.3,4.0,4.0
Sweet Potato Sambar,Curry,150 g,106.6,5.7,16.5,3.0,4.0
Sweet Potato Curry,Curry,150 g,132.2,4.0,11.7,7.1,2.8
Sweet Potato Kurma,Curry,150 g,183.3,4.2,13.6,10.7,2.6
Sweet Potato Masiyal,Curry,100 g,80.4,3.1,7.7,4.2,2.9
Sweet Potato Fry,Snack,100 g,143.9,3.2,13.2,9.4,2.6
Sweet Potato Pachadi,Condiment,80 g,61.8,1.8,6.0,3.2,1.6
Sweet Potato Chutney,Condiment,30 g,57.4,1.5,5.2,3.5,1.1
Sweet Potato Sabzi,Curry,100 g,102.1,3.1,10.5,5.7,2.6
Sweet Potato Rice,Rice Dish,200 g,212.8,5.4,35.6,6.5,2.4
Sweet Potato Dosa,Breakfast,100 g,146.4,4.1,24.6,4.7,1.9
Sweet Potato Paratha,Breakfast,100 g,222.5,5.2,27.9,7.5,2.4
Field Beans Poriyal,Curry,100 g,82.6,3.1,9.0,3.9,2.8
Field Beans Thoran,Curry,100 g,95.9,2.9,8.8,4.7,3.1
Field Beans Kootu,Curry,150 g,112.5,5.2,14.2,3.8,3.8
Field Beans Sambar,Curry,150 g,116.1,5.7,18.3,2.9,3.9
Field Beans Curry,Curry,150 g,123.9,4.1,11.6,6.8,3.2
Field Beans Kurma,Curry,150 g,178.0,3.9,13.2,11.3,2.5
Field Beans Masiyal,Curry,100 g,86.1,3.2,8.6,4.2,2.9
Field Beans Fry,Snack,100 g,135.2,3.1,12.7,8.9,2.4
Field Beans Pachadi,Condiment,80 g,59.8,1.9,6.0,3.2,1.5
Field Beans Chutney,Condiment,30 g,51.8,1.5,5.1,3.4,1.2
Field Beans Sabzi,Curry,100 g,100.5,3.1,9.3,5.9,2.6
Field Beans Rice,Rice Dish,200 g,215.3,5.2,35.0,7.1,2.7
Field Beans Dosa,Breakfast,100 g,152.7,4.3,26.5,4.5,1.7
Field Beans Paratha,Breakfast,100 g,225.6,4.9,30.7,8.5,2.3
Green Peas Poriyal,Curry,100 g,86.0,3.0,9.3,4.3,3.2
Green Peas Thoran,Curry,100 g,85.3,3.2,8.5,4.8,3.2
Green Peas Kootu,Curry,150 g,108.2,5.0,15.0,4.3,4.3
Green Peas Sambar,Curry,150 g,121.9,5.5,17.2,2.8,4.3
Green Peas Curry,Curry,150 g,125.5,4.3,12.1,7.0,3.2
Green Peas Kurma,Curry,150 g,179.5,4.0,13.3,10.3,2.4
Green Peas Masiyal,Curry,100 g,79.5,2.9,7.6,4.2,3.1
Green Peas Fry,Snack,100 g,141.5,3.1,12.3,9.5,2.7
Green Peas Pachadi,Condiment,80 g,63.1,2.0,5.6,3.1,1.4
Green Peas Chutney,Condiment,30 g,51.8,1.5,4.8,3.4,1.1
Green Peas Sabzi,Curry,100 g,104.1,3.2,9.7,6.2,2.3
Green Peas Rice,Rice Dish,200 g,235.7,5.2,35.3,6.6,2.4
Green Peas Dosa,Breakfast,100 g,152.7,4.0,26.6,4.6,1.7
Green Peas Paratha,Breakfast,100 g,197.1,5.3,29.0,8.1,2.4
Capsicum Poriyal,Curry,100 g,80.0,2.8,9.4,4.1,3.0
Capsicum Thoran,Curry,100 g,90.7,3.0,9.1,4.6,2.9
Capsicum Kootu,Curry,150 g,105.6,5.2,14.8,3.7,4.0
Capsicum Sambar,Curry,150 g,118.7,5.6,17.2,2.8,4.0
Capsicum Curry,Curry,150 g,130.1,4.0,11.3,6.8,3.0
Capsicum Kurma,Curry,150 g,159.6,3.8,14.2,10.3,2.5
Capsicum Masiyal,Curry,100 g,84.0,3.0,8.0,4.0,2.8
Capsicum Fry,Snack,100 g,139.2,3.1,13.5,8.9,2.6
Capsicum Pachadi,Condiment,80 g,62.4,2.0,5.6,2.9,1.4
Capsicum Chutney,Condiment,30 g,59.3,1.6,4.7,3.7,1.1
Capsicum Sabzi,Curry,100 g,98.5,3.1,10.4,6.5,2.6
Capsicum Rice,Rice Dish,200 g,227.1,5.4,37.3,7.4,2.7
Capsicum Dosa,Breakfast,100 g,151.9,4.1,25.6,4.5,1.8
Capsicum Paratha,Breakfast,100 g,204.9,4.7,30.2,8.0,2.6
Potato Poriyal,Curry,100 g,81.2,2.8,8.3,3.9,3.1
Potato Thoran,Curry,100 g,90.6,3.0,9.5,4.3,2.9
Potato Kootu,Curry,150 g,106.1,5.3,14.5,3.8,4.2
Potato Sambar,Curry,150 g,113.5,6.3,18.0,2.8,3.8
Potato Curry,Curry,150 g,121.7,3.7,12.2,7.2,2.8
Potato Kurma,Curry,150 g,176.5,3.9,13.4,10.5,2.6
Potato Masiyal,Curry,100 g,74.3,3.0,7.7,4.2,3.1
Potato Fry,Snack,100 g,135.9,3.0,13.4,8.7,2.4
Potato Pachadi,Condiment,80 g,56.6,2.1,5.7,2.9,1.4
Potato Chutney,Condiment,30 g,58.9,1.6,5.3,3.6,1.2
Potato Sabzi,Curry,100 g,99.9,3.2,10.7,6.2,2.6
Potato Rice,Rice Dish,200 g,223.3,4.9,35.9,6.9,2.6
Potato Dosa,Breakfast,100 g,154.3,4.2,24.2,4.6,1.9
Potato Paratha,Breakfast,100 g,223.9,5.0,32.2,8.1,2.4
Onion Poriyal,Curry,100 g,81.5,2.9,9.2,4.3,3.2
Onion Thoran,Curry,100 g,84.1,3.1,8.6,4.3,3.1
Onion Kootu,Curry,150 g,111.8,5.3,13.3,4.2,4.1
Onion Sambar,Curry,150 g,116.1,6.0,18.0,2.9,4.3
Onion Curry,Curry,150 g,119.9,4.3,12.9,6.6,3.2
Onion Kurma,Curry,150 g,169.4,3.8,14.2,10.5,2.7
Onion Masiyal,Curry,100 g,80.7,3.1,7.8,4.0,2.9
Onion Fry,Snack,100 g,134.7,3.0,13.0,8.4,2.7
Onion Pachadi,Condiment,80 g,59.7,2.1,6.4,2.9,1.5
Onion Chutney,Condiment,30 g,55.6,1.4,4.7,3.4,1.3
Onion Sabzi,Curry,100 g,101.3,3.0,9.4,5.8,2.5
Onion Rice,Rice Dish,200 g,242.3,5.0,38.9,7.2,2.4
Onion Dosa,Breakfast,100 g,163.0,4.3,25.6,4.5,1.7
Onion Paratha,Breakfast,100 g,219.9,4.7,31.1,8.0,2.7
Tomato Poriyal,Curry,100 g,85.6,3.1,8.4,3.7,3.2
Tomato Thoran,Curry,100 g,96.4,3.1,9.4,4.4,3.2
Tomato Kootu,Curry,150 g,105.3,5.2,12.9,4.0,3.9
Tomato Sambar,Curry,150 g,117.2,6.2,17.3,3.0,4.0
Tomato Curry,Curry,150 g,119.7,4.0,11.1,7.0,2.9
Tomato Kurma,Curry,150 g,183.0,3.7,14.7,11.3,2.6
Tomato Masiyal,Curry,100 g,85.2,2.8,7.5,3.8,2.9
Tomato Fry,Snack,100 g,140.6,3.2,12.5,8.9,2.4
Tomato Pachadi,Condiment,80 g,59.1,2.0,6.5,2.9,1.5
Tomato Sabzi,Curry,100 g,98.1,3.0,9.3,5.5,2.4
Tomato Rice,Rice Dish,200 g,230.0,4.9,39.7,7.1,2.6
Tomato Dosa,Breakfast,100 g,145.0,4.0,23.2,4.3,1.9
Tomato Paratha,Breakfast,100 g,223.0,5.0,27.8,7.5,2.7
Turnip Poriyal,Curry,100 g,90.4,3.0,8.3,4.3,2.9
Turnip Thoran,Curry,100 g,96.6,3.0,9.4,4.7,3.0
Turnip Kootu,Curry,150 g,102.6,4.7,13.4,4.2,3.9
Turnip Sambar,Curry,150 g,122.3,5.8,17.7,2.8,4.3
Turnip Curry,Curry,150 g,134.7,4.0,12.9,6.5,3.0
Turnip Kurma,Curry,150 g,179.2,3.9,14.6,11.8,2.5
Turnip Masiyal,Curry,100 g,83.5,2.8,7.7,4.3,3.0
Turnip Fry,Snack,100 g,136.8,3.2,12.9,9.3,2.6
Turnip Pachadi,Condiment,80 g,56.0,2.0,6.3,3.1,1.4
Turnip Chutney,Condiment,30 g,52.0,1.6,5.1,3.6,1.2
Turnip Sabzi,Curry,100 g,93.7,2.8,9.7,5.9,2.4
Turnip Rice,Rice Dish,200 g,216.5,4.7,37.7,7.1,2.5
Turnip Dosa,Breakfast,100 g,143.3,3.9,23.4,4.6,1.7
Turnip Paratha,Breakfast,100 g,206.1,4.8,29.5,7.5,2.7
Banana Flower Poriyal,Curry,100 g,90.5,3.2,9.1,3.8,2.9
Banana Flower Thoran,Curry,100 g,84.8,2.9,9.0,4.2,3.0
Banana Flower Kootu,Curry,150 g,108.6,5.0,13.1,3.8,3.8
Banana Flower Sambar,Curry,150 g,117.3,6.1,16.2,2.8,3.9
Banana Flower Curry,Curry,150 g,139.3,3.9,12.2,7.3,2.9
Banana Flower Kurma,Curry,150 g,165.5,4.2,14.8,11.8,2.4
Banana Flower Masiyal,Curry,100 g,77.7,3.2,7.6,3.9,3.2
Banana Flower Fry,Snack,100 g,150.5,2.9,13.4,9.0,2.5
Banana Flower Pachadi,Condiment,80 g,57.5,2.0,6.3,2.9,1.4
Banana Flower Chutney,Condiment,30 g,55.6,1.5,5.0,3.6,1.2
Banana Flower Sabzi,Curry,100 g,107.2,3.0,10.3,5.9,2.4
Banana Flower Rice,Rice Dish,200 g,237.1,5.3,39.8,6.9,2.5
Banana Flower Dosa,Breakfast,100 g,158.3,3.8,25.6,4.7,1.9
Banana Flower Paratha,Breakfast,100 g,195.7,5.4,29.9,7.9,2.5
Plantain Stem Poriyal,Curry,100 g,90.7,3.1,9.1,4.2,2.9
Plantain Stem Thoran,Curry,100 g,95.7,3.0,9.2,4.2,3.1
Plantain Stem Kootu,Curry,150 g,112.8,4.9,14.3,3.7,4.3
Plantain Stem Sambar,Curry,150 g,118.3,5.9,17.7,3.2,4.0
Plantain Stem Curry,Curry,150 g,119.8,3.8,12.0,7.0,3.0
Plantain Stem Kurma,Curry,150 g,172.0,4.0,13.8,11.5,2.5
Plantain Stem Masiyal,Curry,100 g,80.0,2.9,7.4,3.7,3.0
Plantain Stem Fry,Snack,100 g,150.3,2.8,13.9,8.5,2.4
Plantain Stem Pachadi,Condiment,80 g,59.6,1.9,6.0,3.0,1.5
Plantain Stem Chutney,Condiment,30 g,56.7,1.5,4.8,3.7,1.1
Plantain Stem Sabzi,Curry,100 g,105.6,3.1,10.3,5.7,2.7
Plantain Stem Rice,Rice Dish,200 g,220.6,4.7,35.9,7.1,2.7
Plantain Stem Dosa,Breakfast,100 g,148.4,3.9,23.7,4.6,1.8
Plantain Stem Paratha,Breakfast,100 g,194.2,5.1,28.5,8.1,2.5
Toor Dal Sambar,Curry,150 g,123.9,5.7,18.7,3.1,4.2
Toor Dal Kootu,Curry,150 g,107.7,7.4,14.2,3.4,4.5
Toor Dal Rasam,Soup,150 g,62.5,2.6,10.0,1.5,1.5
Toor Dal Tadka,Curry,150 g,142.5,8.1,17.6,4.2,5.1
Toor Dal Curry,Curry,150 g,136.5,7.7,16.4,4.1,4.2
Toor Dal Payasam,Dessert,100 g,178.9,3.8,27.1,6.6,1.0
Toor Dal Vada,Snack,50 g,100.2,3.9,10.4,4.9,1.1
Toor Dal Adai (mix),Breakfast,100 g,189.0,8.2,27.6,4.9,3.2
Moong Dal Sambar,Curry,150 g,119.8,5.7,17.5,3.0,4.2
Moong Dal Kootu,Curry,150 g,112.4,6.5,14.1,3.7,4.8
Moong Dal Rasam,Soup,150 g,65.1,2.5,10.3,1.5,1.6
Moong Dal Tadka,Curry,150 g,139.7,7.5,16.6,4.2,4.8
Moong Dal Curry,Curry,150 g,125.3,7.5,16.1,4.0,4.7
Moong Dal Payasam,Dessert,100 g,198.1,4.0,26.3,6.6,1.0
Moong Dal Vada,Snack,50 g,105.2,3.9,11.6,4.6,1.2
Moong Dal Adai (mix),Breakfast,100 g,186.4,8.6,25.3,4.7,3.3
Urad Dal Sambar,Curry,150 g,116.1,6.5,17.9,2.9,4.7
Urad Dal Kootu,Curry,150 g,113.9,7.6,15.7,3.4,4.7
Urad Dal Rasam,Soup,150 g,65.9,2.4,10.3,1.5,1.4
Urad Dal Tadka,Curry,150 g,131.9,7.6,17.2,3.7,4.9
Urad Dal Curry,Curry,150 g,125.4,7.5,16.5,4.1,4.3
Urad Dal Payasam,Dessert,100 g,182.9,4.2,30.2,7.2,0.9
Urad Dal Vada,Snack,50 g,107.4,4.2,11.7,5.4,1.3
Urad Dal Adai (mix),Breakfast,100 g,174.0,8.5,25.9,4.7,3.4
Chana Dal Sambar,Curry,150 g,125.0,6.2,18.0,3.0,4.3
Chana Dal Kootu,Curry,150 g,113.4,6.9,15.3,3.7,4.2
Chana Dal Rasam,Soup,150 g,65.2,2.4,10.7,1.5,1.6
Chana Dal Tadka,Curry,150 g,136.1,7.4,18.8,4.1,5.2
Chana Dal Curry,Curry,150 g,129.1,7.7,16.6,3.7,4.5
Chana Dal Payasam,Dessert,100 g,181.4,4.0,26.7,6.7,1.1
Chana Dal Vada,Snack,50 g,97.4,4.0,11.1,5.0,1.2
Chana Dal Adai (mix),Breakfast,100 g,190.4,7.4,25.3,4.7,3.2
Masoor Dal Sambar,Curry,150 g,112.8,6.3,17.8,2.8,4.8
Masoor Dal Kootu,Curry,150 g,109.5,7.2,14.1,3.6,4.3
Masoor Dal Rasam,Soup,150 g,69.5,2.4,10.2,1.4,1.5
Masoor Dal Tadka,Curry,150 g,149.0,7.6,17.7,3.9,5.2
Masoor Dal Curry,Curry,150 g,124.5,7.7,17.6,3.7,4.5
Masoor Dal Payasam,Dessert,100 g,178.8,3.8,28.8,6.5,1.0
Masoor Dal Vada,Snack,50 g,105.1,4.3,10.9,4.7,1.1
Masoor Dal Adai (mix),Breakfast,100 g,181.5,8.3,25.3,4.4,3.4
Horse Gram Sambar,Curry,150 g,113.0,6.3,18.7,2.8,4.9
Horse Gram Kootu,Curry,150 g,108.4,7.0,13.8,3.6,4.5
Horse Gram Rasam,Soup,150 g,67.3,2.6,9.4,1.5,1.5
Horse Gram Tadka,Curry,150 g,148.1,7.5,16.8,4.2,5.1
Horse Gram Curry,Curry,150 g,127.6,8.1,16.5,3.8,4.3
Horse Gram Payasam,Dessert,100 g,177.4,4.0,28.4,7.1,1.0
Horse Gram Vada,Snack,50 g,103.0,4.2,11.3,4.8,1.2
Horse Gram Adai (mix),Breakfast,100 g,185.3,8.3,26.1,4.2,3.4
Mixed Dal Sambar,Curry,150 g,128.7,6.0,16.9,3.0,4.6
Mixed Dal Kootu,Curry,150 g,115.5,7.5,16.2,3.7,4.2
Mixed Dal Rasam,Soup,150 g,68.8,2.5,9.8,1.5,1.6
Mixed Dal Tadka,Curry,150 g,150.2,8.3,16.6,3.7,4.8
Mixed Dal Curry,Curry,150 g,120.4,7.0,17.8,4.0,4.6
Mixed Dal Payasam,Dessert,100 g,190.0,3.9,28.9,6.5,1.0
Mixed Dal Vada,Snack,50 g,101.9,3.9,10.7,5.0,1.1
Mixed Dal Adai (mix),Breakfast,100 g,194.1,8.0,26.5,4.6,3.4
Green Gram Sambar,Curry,150 g,123.5,5.6,18.6,3.1,4.7
Green Gram Kootu,Curry,150 g,106.9,6.5,14.8,3.5,4.6
Green Gram Rasam,Soup,150 g,63.0,2.6,10.4,1.4,1.5
Green Gram Tadka,Curry,150 g,144.5,7.6,19.3,4.0,5.2
Green Gram Curry,Curry,150 g,134.6,7.1,16.0,4.2,4.3
Green Gram Payasam,Dessert,100 g,201.7,4.2,25.9,7.3,1.0
Green Gram Vada,Snack,50 g,93.0,4.1,11.1,4.7,1.2
Green Gram Adai (mix),Breakfast,100 g,180.9,8.0,27.3,4.4,3.1
Chicken Curry,Curry,150 g,215.4,20.2,7.2,14.3,1.0
Chicken Fry,Snack,150 g,259.6,25.4,5.8,17.9,0.8
Chicken Roast,Snack,150 g,283.2,26.7,8.5,20.2,1.1
Chicken Masala,Curry,150 g,270.0,21.7,8.7,15.8,1.2
Chicken Pepper Fry,Snack,150 g,275.1,25.2,7.5,20.4,0.9
Chicken Ghee Roast,Snack,150 g,294.8,21.9,9.1,20.3,1.0
Chicken Stew,Curry,150 g,208.8,19.3,10.0,12.5,1.1
Chicken Varutharacha Curry,Curry,150 g,287.3,21.9,9.6,15.7,1.5
Mutton Curry,Curry,150 g,220.2,19.5,7.4,15.9,1.1
Mutton Fry,Snack,150 g,257.7,24.6,6.3,18.7,0.7
Mutton Roast,Snack,150 g,301.4,24.0,8.0,18.6,1.1
Mutton Masala,Curry,150 g,268.8,20.6,9.6,17.0,1.2
Mutton Pepper Fry,Snack,150 g,273.0,25.2,6.5,19.2,1.0
Mutton 65,Snack,150 g,333.0,21.1,9.6,18.4,1.0
Mutton Ghee Roast,Snack,150 g,330.3,23.9,8.7,20.2,0.9
Mutton Stew,Curry,150 g,200.0,19.9,10.1,11.3,1.1
Mutton Varutharacha Curry,Curry,150 g,268.5,20.7,10.1,18.3,1.4
